publisher,title,summary,pubdate,link,thumblink
New York Times,‘Weaponized’ Currency and Mining Limits: China’s Responses to Trump Take Shape,"Beijing’s signals suggest it is ready to retaliate should the White House follow through on its new tariff threat, with potentially disruptive results.","Fri, 09 Aug 2019 00:48:44 +0000",https://www.nytimes.com/2019/08/08/business/china-currency-trade-rare-earths.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08chinaresponse1/08chinaresponse1-moth.jpg
New York Times,Ex-President of Kyrgyzstan Is Arrested on Graft Charges After Deadly Clashes,"The first attempt to detain Almazbek Atambayev failed a day earlier when his supporters rushed to his defense, prompting violence that left a police officer dead.","Thu, 08 Aug 2019 16:29:30 +0000",https://www.nytimes.com/2019/08/08/world/asia/ex-president-kyrgyzstan-arrested.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08Kyrgyzstan/08-Kyrgyzstan-moth.jpg
New York Times,Daughter of Ex-Prime Minister Is Arrested in Pakistan Graft Inquiry,"Opposition figures denounced the arrest of Maryam Nawaz Sharif, a vocal critic of Prime Minister Imran Khan, as part of a political vendetta.","Fri, 09 Aug 2019 04:05:51 +0000",https://www.nytimes.com/2019/08/08/world/asia/pakistan-maryam-nawaz-sharif-arrest.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08pakistan/08pakistan-moth.jpg
New York Times,"Welcome to Mongolia, Mr. Defense Secretary. Here’s Your Horse.",A visit by Mark Esper to Mongolia was the third time an American defense secretary has named a horse in this landlocked ally wedged between China and Russia.,"Thu, 08 Aug 2019 23:12:55 +0000",https://www.nytimes.com/2019/08/08/world/asia/esper-horse-mongolia.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08Mongolia/08Mongolia-moth.jpg
New York Times,Radiation Is Said to Be Released in Russian Military Accident,"Two people were reported killed, which would make it the second recent lethal fire involving the Russian Navy. The authorities are prohibiting shipping and sailing in parts of the White Sea for a month.","Fri, 09 Aug 2019 04:11:56 +0000",https://www.nytimes.com/2019/08/08/world/europe/russia-radiation-accident.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08russia-radiation/08russia-radiation-moth.jpg
New York Times,The Unlikely American Target of China’s Conspiracy Theories on Hong Kong,The ruling Communist Party has identified a novel reason for the unrest: the secret machinations of an American diplomat.,"Thu, 08 Aug 2019 19:33:11 +0000",https://www.nytimes.com/2019/08/08/world/asia/hong-kong-black-hand.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08hk-americans-1/08hk-americans-1-moth.jpg
New York Times,Yeshiva Student Found Stabbed to Death in West Bank,"The killing set off a hunt for the assailant by the Israeli Army, which was treating his death as a terrorist attack. Investigators were pursuing the possibility of a botched abduction.","Thu, 08 Aug 2019 16:09:08 +0000",https://www.nytimes.com/2019/08/08/world/middleeast/israel-yeshiva-student-west-bank.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08Israel2/08Israel2-moth.jpg
New York Times,"El Paso, California Stabbing, Rod Blagojevich: Your Thursday Briefing",Here’s what you need to know.,"Thu, 08 Aug 2019 13:46:31 +0000",https://www.nytimes.com/2019/08/08/briefing/el-paso-california-stabbing-rod-blagojevich.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08usbriefing-amcore/08usbriefing-amcore-moth.jpg
New York Times,"This Bread Recipe Starts With 4,000-Year-Old Yeast","A self-professed “bread nerd” extracted yeast from ancient Egyptian artifacts to make a loaf of sourdough. “The aroma and flavor are incredible,” he said.","Thu, 08 Aug 2019 10:17:08 +0000",https://www.nytimes.com/2019/08/08/science/old-bread-yeast.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/multimedia/07xp-bread/07xp-bread-moth.jpg
New York Times,"In Ciudad Juárez, Migrants Dream of America but ‘Run Into Trump’s Wall’",President Trump’s strict anti-immigration policies mean that a growing number of migrants are stranded in Mexican cities like Ciudad Juárez.,"Thu, 08 Aug 2019 19:17:43 +0000",https://www.nytimes.com/2019/08/08/world/americas/ciudad-juarez-mexico-migrants.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07mexico-border/07mexico-border-moth.jpg
New York Times,"Climate Change Threatens the World’s Food Supply, United Nations Warns","The world's land is being exploited at an “unprecedented” rate, a United Nations report on climate change warns, putting pressure on food production and amplifying the risk of mass migration.","Thu, 08 Aug 2019 20:25:14 +0000",https://www.nytimes.com/2019/08/08/climate/climate-change-food-supply.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/climate/08CLI-IPCCLAND8/08CLI-IPCCLAND8-moth.jpg
New York Times,"As Duterte Drifts Toward China, a U.S. Carrier Makes a Point in Manila",The aircraft carrier Ronald Reagan’s visit comes as President Rodrigo Duterte faces pressure at home to resist China’s territorial claims.,"Fri, 09 Aug 2019 04:07:59 +0000",https://www.nytimes.com/2019/08/08/world/asia/philippines-aircraft-carrier-manila.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/world/08philippines-1/08philippines-1-moth.jpg
New York Times,"Scotland, Irish Housing Crisis, Spanish Steps: Your Thursday Briefing",Here’s what you need to know.,"Thu, 08 Aug 2019 06:57:49 +0000",https://www.nytimes.com/2019/08/08/briefing/scotland-irish-housing-crisis-spanish-steps.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/08/briefing/08ambriefing-euro-promo/08ambriefing-euro-slide-X7R7-moth.jpg
New York Times,Housing Crisis Grips Ireland a Decade After Property Bubble Burst,"A housing shortage has made Dublin one of the world’s most expensive cities to rent in. Homelessness is up sharply, while homeownership has fallen.","Thu, 08 Aug 2019 14:27:30 +0000",https://www.nytimes.com/2019/08/08/world/europe/housing-crisis-ireland.html?emc=rss&partner=rss,https://static01.nyt.com/images/2019/08/07/world/07ireland-housing1/07ireland-housing1-moth.jpg
